"","Year","Project","variable","value"
"1","2010","BS1001","Plasma",634
"2","2011","BS1001","Plasma",1945
"3","2011","BS1101","Plasma",135
"4","2011","BS1103","Plasma",10
"5","2012","BS1101","Plasma",153
"6","2012","BS1103","Plasma",2480
"7","2012","BS1202","Plasma",626
"8","2013","BS1101","Plasma",55
"9","2013","BS1103","Plasma",2086
"10","2013","BS1202","Plasma",854
"11","2014","BS1101","Plasma",89
"12","2014","BS1202","Plasma",1039
"13","2014","BS1203","Plasma",0
"14","2014","BS1402","Plasma",184
"15","2015","BS1101","Plasma",48
"16","2015","BS1202","Plasma",1598
"17","2015","BS1203","Plasma",0
"18","2015","BS1402","Plasma",301
"19","2016","BS1101","Plasma",33
"20","2016","BS1202","Plasma",2614
"21","2016","BS1203","Plasma",0
"22","2016","BS1402","Plasma",206
"23","2017","BS1101","Plasma",6
"24","2017","BS1202","Plasma",2411
"25","2017","BS1203","Plasma",0
"26","2017","BS1402","Plasma",27
"27","2018","BS1101","Plasma",0
"28","2018","BS1202","Plasma",3303
"29","2018","BS1203","Plasma",0
"30","2019","BS1101","Plasma",0
"31","2019","BS1202","Plasma",2284
"32","2019","BS1203","Plasma",0
"33","2019","BS1701","Plasma",0
"34","2020","BS1202","Plasma",502
"35","2020","BS1203","Plasma",0
"36","2020","BS1904","Plasma",0
"37","2010","BS1001","Serum",570
"38","2011","BS1001","Serum",1862
"39","2011","BS1101","Serum",145
"40","2011","BS1103","Serum",7
"41","2012","BS1101","Serum",154
"42","2012","BS1103","Serum",2160
"43","2012","BS1202","Serum",560
"44","2013","BS1101","Serum",60
"45","2013","BS1103","Serum",1789
"46","2013","BS1202","Serum",780
"47","2014","BS1101","Serum",91
"48","2014","BS1202","Serum",884
"49","2014","BS1203","Serum",0
"50","2014","BS1402","Serum",165
"51","2015","BS1101","Serum",44
"52","2015","BS1202","Serum",1333
"53","2015","BS1203","Serum",0
"54","2015","BS1402","Serum",272
"55","2016","BS1101","Serum",31
"56","2016","BS1202","Serum",2117
"57","2016","BS1203","Serum",0
"58","2016","BS1402","Serum",167
"59","2017","BS1101","Serum",6
"60","2017","BS1202","Serum",2093
"61","2017","BS1203","Serum",0
"62","2017","BS1402","Serum",24
"63","2018","BS1101","Serum",0
"64","2018","BS1202","Serum",2831
"65","2018","BS1203","Serum",0
"66","2019","BS1101","Serum",0
"67","2019","BS1202","Serum",1928
"68","2019","BS1203","Serum",0
"69","2019","BS1701","Serum",0
"70","2020","BS1202","Serum",431
"71","2020","BS1203","Serum",0
"72","2020","BS1904","Serum",0
"73","2010","BS1001","Buffy_Coat",293
"74","2011","BS1001","Buffy_Coat",966
"75","2011","BS1101","Buffy_Coat",70
"76","2011","BS1103","Buffy_Coat",1
"77","2012","BS1101","Buffy_Coat",47
"78","2012","BS1103","Buffy_Coat",631
"79","2012","BS1202","Buffy_Coat",178
"80","2013","BS1101","Buffy_Coat",14
"81","2013","BS1103","Buffy_Coat",427
"82","2013","BS1202","Buffy_Coat",228
"83","2014","BS1101","Buffy_Coat",24
"84","2014","BS1202","Buffy_Coat",261
"85","2014","BS1203","Buffy_Coat",0
